annee,departement,sejours,nuitees,conso_touristique,duree_sejour,repeaters,hebergement_marchand,voyagent_individuel,motif_personnel,depense_jour_personne,budget_sejour,satisfaction_globale,nps,intention_revenir,transport_avion,transport_train,transport_route,satisfaction_proprete,satisfaction_securite,satisfaction_restauration,satisfaction_transport,satisfaction_culture,sejours_total_idf,nuitees_total_idf,is_covid,repeaters_pct,satisfaction_globale_pct,hebergement_marchand_pct,voyagent_individuel_pct,motif_personnel_pct,transport_avion_pct,transport_train_pct,transport_route_pct,satisfaction_proprete_pct,satisfaction_securite_pct,satisfaction_restauration_pct,satisfaction_transport_pct,satisfaction_culture_pct,intention_revenir_pct,part_sejours_idf,zone,evol_sejours_pct,depense_totale_estimee,zone_detail,code_dept,sejours_millions,nuitees_millions,conso_milliards
2015,Hauts-de-Seine,4116815.929535886,15013768.482411446,1596906002.4266007,3.6469370356580506,0.8805991,0.6043614,0.9289756,0.5694703,106.3627699,387.8983247634853,0.9305048,20.688050000000004,0.7331767,0.2133865,0.3365588,0.4500547,0.5941756,0.7237836,0.8605202999999999,0.8348682000000001,0.9569829,47024971.27799479,173545351.86551732,False,88.05991,93.05048,60.43614,92.89756,56.94703,21.33865,33.65588,45.00547,59.41756,72.37836,86.05202999999999,83.48682000000001,95.69829,73.31767,8.754531513052383,Petite couronne,-6.1002089210054455,1596906002.4266007,Hauts-de-Seine (92),92,4.1168159295358855,15.013768482411447,1.5969060024266006
2016,Hauts-de-Seine,4089592.983193489,14706112.599160852,1584525903.714574,3.595984407151715,0.8863669,0.5683921000000001,0.8476101,0.5608128,107.7460745,387.45320383380704,0.9232966,22.9493,0.7509194,0.2165178,0.3109439,0.4725383,0.5541176,0.7475424,0.8572295999999999,0.8156457,0.9550521,45053118.14012324,168323588.77563253,False,88.63669,92.32966,56.83921000000001,84.76101,56.08128,21.65178,31.09439,47.25383,55.41176,74.75424000000001,85.72295999999999,81.56457,95.50521,75.09194000000001,9.07726956983116,Petite couronne,-0.6612621698018462,1584525903.714574,Hauts-de-Seine (92),92,4.089592983193489,14.706112599160852,1.584525903714574
2017,Hauts-de-Seine,4221559.09098995,14685674.68675259,1559969466.0671773,3.478732470687463,0.9028874,0.5819795,0.8503842,0.5325483,106.2238882,369.5244890440149,0.9303845,25.38686000000001,0.7351000000000001,0.1651539,0.3854204,0.4494256,0.5683346,0.7472025,0.8647758999999999,0.8177852,0.9730875,48126217.61867475,179606704.53159204,False,90.28874,93.03845,58.19795,85.03842,53.25483,16.51539,38.54204,44.94256,56.83346,74.72025,86.47758999999999,81.77852,97.30875,73.51,8.771848900404402,Petite couronne,3.226876325805206,1559969466.0671773,Hauts-de-Seine (92),92,4.22155909098995,14.68567468675259,1.5599694660671772
2018,Hauts-de-Seine,4187420.7548407214,14678528.09650855,1343506594.586902,3.505386479144698,0.9149466,0.535754,0.7965695,0.5629667,91.5287,320.84346743369133,0.9168762,26.36551,0.7749276,0.1724906,0.3869103,0.4405991,0.5918603,0.7533221,0.9137852,0.8407703,0.9544315,50072565.40452994,191943420.85517684,False,91.49466,91.68762,53.5754,79.65695000000001,56.296670000000006,17.24906,38.69103,44.05991,59.18603,75.33221,91.37852,84.07703,95.44315,77.49276,8.362704648765403,Petite couronne,-0.8086665474395516,1343506594.586902,Hauts-de-Seine (92),92,4.187420754840721,14.678528096508549,1.3435065945869018
2019,Hauts-de-Seine,4258830.996902924,14578390.865400849,1304569123.152325,3.423096825397025,0.910966,0.5395952999999999,0.8053525,0.5838058,89.4864965,306.320942085052,0.9002297,28.451059999999995,0.7787157,0.174301,0.3889472,0.4367518,0.5881510000000001,0.7651910000000001,0.8834813,0.7938048,0.9542209,50584879.11865042,196361211.53661975,False,91.0966,90.02297,53.95952999999999,80.53525,58.38058,17.4301,38.89472,43.675180000000005,58.81510000000001,76.51910000000001,88.34813,79.38047999999999,95.42209,77.87157,8.419177966035136,Petite couronne,1.7053514858675456,1304569123.152325,Hauts-de-Seine (92),92,4.258830996902924,14.578390865400848,1.3045691231523249
2020,Hauts-de-Seine,1767384.0911447948,6526614.329240156,524795206.289871,3.692810386797499,0.9391641,0.5254941,0.8330126999999999,0.6873791,80.4084905,296.93330890510805,0.9463743,17.22306,0.7976431,0.053039,0.318806,0.628155,0.6075904999999999,0.6659189999999999,0.9233247,0.781392,0.9205437,17411689.632677298,66128161.16805763,True,93.91641,94.63743,52.54941,83.30126999999999,68.73791,5.3039000000000005,31.8806,62.8155,60.75905,66.5919,92.33247,78.1392,92.05437,79.76431000000001,10.150560505212924,Petite couronne,-58.50072255907644,524795206.289871,Hauts-de-Seine (92),92,1.7673840911447949,6.526614329240156,0.524795206289871
2021,Hauts-de-Seine,2068687.9504295904,8053059.249704992,592295242.3457471,3.8928342227897,0.9427716,0.4947531999999999,0.8832388,0.7073137,73.5490978,286.31444497114666,0.9570093,17.674200000000003,0.815449,0.1764797,0.4124824,0.4110378,0.4713132,0.6420592,0.8937004,0.7901976,0.9304521,22608370.153213795,82549300.81827837,True,94.27716,95.70093,49.47532,88.32388,70.73137,17.647969999999997,41.24824,41.10378,47.13132,64.20592,89.37003999999999,79.01976,93.04521,81.5449,9.150097669183486,Petite couronne,17.048012415322276,592295242.3457471,Hauts-de-Seine (92),92,2.0686879504295903,8.053059249704992,0.5922952423457472
2022,Hauts-de-Seine,4272978.824287964,16874253.446015947,1452500855.8637545,3.9490608636067415,0.8793358,0.5180081,0.8522924,0.7231304,86.0779329,339.9269960355571,0.9432716,26.03127,0.7710912,0.2748442,0.3906076,0.3345482,0.5311462,0.6473461,0.9089912,0.8692206,0.9336855,44085351.650253415,171921744.81550583,False,87.93358,94.32716,51.80081,85.22923999999999,72.31304,27.48442,39.06076,33.454820000000005,53.11462,64.73461,90.89912,86.92206,93.36855,77.10912,9.692513872152366,Petite couronne,106.55502070288674,1452500855.8637545,Hauts-de-Seine (92),92,4.272978824287964,16.874253446015945,1.4525008558637544
2023,Hauts-de-Seine,3925595.912746387,14076890.004346125,1382844030.0213556,3.5859243582964164,0.8375947,0.5747701000000001,0.8158389,0.7119447,98.2350526,352.2634679568697,0.9624716,23.037650000000003,0.7701217,0.2920526,0.4222392,0.2857083,0.5337080000000001,0.6770265,0.8875044,0.7539668,0.9330069,47580278.49712865,175134811.62252828,False,83.75947000000001,96.24716,57.47701000000001,81.58389,71.19447,29.20526,42.22392,28.57083,53.37080000000001,67.70264999999999,88.75044,75.39668,93.30069,77.01217,8.250468548609456,Petite couronne,-8.129759725628027,1382844030.0213556,Hauts-de-Seine (92),92,3.925595912746387,14.076890004346124,1.3828440300213556
2024,Hauts-de-Seine,4232323.279249832,15978173.443044998,1599562106.5186906,3.775272442297245,0.88349,0.5801796,0.8080533,0.6725771,100.1091966,377.939491144497,0.9671594,21.09887,0.8012308,0.2128007,0.3609966,0.4262026,0.6118713,0.729797,0.9217394,0.8021628000000001,0.9250871,48660960.24694117,180395847.01733667,False,88.349,96.71594,58.01796,80.80533,67.25771,21.28007,36.09966,42.62026,61.18713,72.97970000000001,92.17394,80.21628000000001,92.50871,80.12308,8.697574519228434,Petite couronne,7.813523687129975,1599562106.5186906,Hauts-de-Seine (92),92,4.232323279249832,15.978173443044998,1.5995621065186907
